"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"29_M_302" 5 12470.4 1169.457 11680 11680 14496 2169.9 2152.7 2169.925 2152.693 7.657 2169 2151 2 3 3.144 2.025 108.435 1 3.606 62352 11984 62352 2169 2151 123.69 2 1.553 0.644 0.909 "Négatif"
"29_M_303" 108 23367.704 15269.219 65504 11744 65504 2118.519 2163.139 2118.7 2163.482 70.326 2112 2154 16 15 15.839 8.682 142.058 0.274 20.518 2523712 17552 2523712 2113 2154 133.025 12.735 1.824 0.548 0.617 "Négatif"
"29_M_304" 23 12577.391 760.63 12384 11712 14656 3225.804 2165.065 3225.841 2165.068 20.971 3223 2161 5 7 6.193 4.728 79.844 0.657 7.81 289280 12256 289280 3223 2167 50.194 5 1.31 0.763 0.793 "Négatif"
"29_M_305" 49 24085.551 16200.854 65504 11744 65504 3412.5 2164.99 3412.717 2165.054 29.456 3408 2161 9 8 8.022 7.777 143.688 0.71 9.899 1180192 15584 1180192 3408 2162 135 8 1.032 0.969 0.803 "Négatif"
"29_M_306" 14 13634.286 1708.239 11728 11728 16640 3607 2163 3606.978 2162.956 12.485 3605 2161 4 4 4.849 3.676 135 1 5.657 190880 13472 190880 3605 2161 135 4 1.319 0.758 0.933 "Négatif"
"29_M_307" 7 13424 1472.638 11856 11856 15792 3692.5 2173.786 3692.483 2173.83 9.071 3691 2172 3 3 3.086 2.888 0 1 3.606 93968 13152 93968 3692 2172 123.69 3 1.069 0.936 0.875 "Négatif"
"29_M_308" 7 12548.571 1129.964 11696 11696 14464 2851.643 2175.786 2851.671 2175.774 11.071 2849 2175 5 2 4.647 1.918 175.692 0.718 5.099 87840 12000 87840 2849 2175 168.69 2 2.423 0.413 0.824 "Négatif"
"29_M_309" 7 15138.286 2751.852 12528 12528 18816 3539.5 2191.786 3539.4 2191.793 9.071 3538 2190 3 3 3.086 2.888 0 1 3.606 105968 13520 105968 3539 2190 123.69 3 1.069 0.936 0.875 "Négatif"
"29_M_310" 8 13610 1030.584 12240 12240 15280 2267.5 2195.625 2267.525 2195.607 11.899 2265 2194 4 3 3.847 2.648 26.001 0.71 5 108880 14144 108880 2265 2197 36.87 3 1.453 0.688 0.8 "Négatif"
"29_M_311" 5 12700.8 927.407 11872 11872 14160 3283.7 2199.1 3283.702 2199.091 9.657 3283 2197 2 4 3.732 1.706 95.152 0.674 4.123 63504 12736 63504 3283 2197 104.036 2 2.188 0.457 0.769 "Négatif"
"29_M_312" 21 19603.81 8111.893 11744 11744 42736 1513.452 2211.452 1513.371 2211.467 27.314 1511 2206 4 12 11.637 2.298 104.828 0.354 12.649 411680 15648 411680 1511 2206 108.435 3.297 5.064 0.197 0.712 "Négatif"
"29_M_313" 57 23768.702 17606.378 65504 11728 65504 3105.254 2216.061 3105.331 2216.335 31.456 3100 2212 10 9 9.684 7.494 34.461 0.724 12.207 1354816 15600 1354816 3100 2219 34.992 8.485 1.292 0.774 0.814 "Négatif"
"29_M_314" 17 17600.941 5418.317 11856 11856 29296 2307.618 2218.971 2307.676 2218.932 17.556 2304 2216 6 5 5.622 3.85 34.629 0.693 7.211 299216 16624 299216 2304 2221 33.69 4.8 1.46 0.685 0.756 "Négatif"
"29_M_315" 189 26465.185 19905.918 65504 11680 65504 3652.606 2227.019 3652.995 2227.438 78.225 3645 2217 15 20 17.578 13.69 103.594 0.388 21.541 5001920 15568 5001920 3648 2217 111.801 15 1.284 0.779 0.796 "Négatif"
"29_M_316" 6 13242.667 1805.341 11888 11888 15968 2184.833 2220 2184.891 2219.995 9.657 2184 2218 2 4 3.718 2.055 90 0.809 4.123 79456 12384 79456 2184 2218 104.036 2 1.809 0.553 0.857 "Négatif"
"29_M_317" 42 22298.286 11588.037 11728 11728 54432 1557 2228.214 1557.266 2228.271 29.213 1552 2225 10 6 9.603 5.569 2.795 0.618 10.44 936528 19200 936528 1552 2230 16.699 6 1.724 0.58 0.792 "Négatif"
"29_M_318" 98 29071.837 20048.34 65504 11680 65504 3292.5 2231.031 3292.912 2231.401 48.184 3285 2225 15 11 13.434 9.288 151.114 0.53 16.155 2849040 19920 2849040 3285 2228 158.199 10.607 1.446 0.691 0.8 "Négatif"
"29_M_319" 10 13651.2 1651.023 11728 11728 16496 3250.4 2230.5 3250.408 2230.585 16.728 3249 2227 3 6 5.206 2.446 95.914 0.449 6.325 136512 13792 136512 3250 2227 108.435 3 2.129 0.47 0.667 "Négatif"
"29_M_320" 12 17153.333 4964.856 11792 11792 26816 3597 2230 3597.087 2229.943 11.314 3595 2228 4 4 3.909 3.909 0 1 4.472 205840 15776 205840 3596 2228 116.565 4 1 1 0.857 "Négatif"
"29_M_321" 21 17228.19 5108.74 12432 12096 26944 2246.405 2237.833 2246.412 2237.82 17.556 2243 2235 6 6 5.931 4.508 141.777 0.856 6.708 361792 15984 361792 2245 2235 116.565 5.367 1.316 0.76 0.778 "Négatif"
"29_M_322" 31 20817.032 11453.562 11968 11968 54848 2391.919 2240.468 2392.159 2240.691 27.799 2389 2235 6 9 7.832 5.04 102.751 0.504 9.487 645328 15440 645328 2391 2235 108.435 6 1.554 0.643 0.738 "Négatif"
"29_M_323" 16 18043 6864.826 11744 11744 32224 2618.188 2241.062 2618.312 2241.119 17.556 2615 2238 6 5 5.063 4.024 31.036 0.652 6.325 288688 17664 288688 2615 2242 18.435 5 1.258 0.795 0.696 "Négatif"
"29_M_324" 7 14612.571 2388.358 12096 12096 18720 2690.5 2241.5 2690.486 2241.527 8.485 2689 2240 3 3 3.772 2.363 135 1 4.243 102288 14048 102288 2689 2240 135 2.828 1.596 0.626 0.875 "Négatif"
"29_M_325" 50 12954.56 1070.586 11728 11728 15472 3034.2 2246.08 3034.187 2246.081 47.598 3027 2242 15 9 14.995 4.246 21.9 0.277 17.493 647728 12720 647728 3027 2251 30.964 6.641 3.532 0.283 0.602 "Négatif"
"29_M_326" 6 12290.667 430.684 11968 11968 13120 3024 2249 3024.024 2248.988 11.314 3022 2247 4 4 3.45 2.214 45 0.589 4.472 73744 12192 73744 3022 2250 26.565 2.828 1.558 0.642 0.545 "Négatif"
"29_M_327" 5 13222.4 1662.176 12160 12160 16080 3169.9 2249.9 3169.868 2249.881 10.485 3169 2248 2 4 3.702 1.72 105.482 0.572 4.472 66112 12432 66112 3169 2248 116.565 2 2.152 0.465 0.714 "Négatif"
"29_M_328" 183 31126.82 21945.237 65504 11680 65504 3776.325 2260.21 3776.797 2260.55 76.225 3768 2250 16 19 16.131 14.444 101.399 0.396 19.647 5696208 19488 5696208 3773 2269 75.256 16 1.117 0.895 0.761 "Négatif"
"29_M_329" 21 20645.333 10657.79 11920 11920 46048 2884.976 2253.976 2885.066 2254.029 19.556 2881 2251 7 6 5.473 4.885 17.312 0.69 7.28 433552 17232 433552 2881 2255 15.945 5.692 1.12 0.893 0.712 "Négatif"
"29_M_330" 84 30518.667 19755.944 65504 11728 65504 2160.583 2271.095 2161.148 2271.285 35.698 2154 2265 12 12 10.718 9.979 107.55 0.828 12.369 2563568 21472 2563568 2154 2270 165.964 10.607 1.074 0.931 0.832 "Négatif"
"29_M_331" 21 21680.762 10781.369 11696 11696 43712 2806.262 2267.405 2806.59 2267.265 19.556 2803 2265 6 5 5.957 4.488 178.75 0.69 6.708 455296 18832 455296 2803 2266 153.435 5 1.327 0.753 0.792 "Négatif"
"29_M_332" 11 15492.364 3075.54 12416 12416 20688 4345.409 2272.136 4345.379 2272.109 11.071 4344 2270 3 4 4.384 3.195 105.071 1 5 170416 14000 170416 4344 2270 126.87 3 1.372 0.729 0.957 "Négatif"
"29_M_333" 47 24096 16310.069 11968 11760 65504 2032.33 2293.394 2032.445 2293.6 32.284 2028 2289 10 8 8.573 6.98 170.703 0.567 10.44 1132512 16112 1132512 2028 2295 16.699 8 1.228 0.814 0.746 "Négatif"
"29_M_334" 14 21205.714 8417.988 11696 11696 37616 1869 2303 1868.854 2302.955 12.485 1867 2301 4 4 4.849 3.676 135 1 5.657 296880 20432 296880 1867 2301 135 4 1.319 0.758 0.933 "Négatif"
"29_M_335" 7 14038.857 1064.686 12576 12576 15392 4158.357 2302.929 4158.381 2302.904 10.485 4157 2301 3 4 3.516 2.535 79.099 0.8 4.123 98272 14016 98272 4158 2301 104.036 3 1.387 0.721 0.737 "Négatif"
"29_M_336" 5 12809.6 723.865 12160 12160 13728 1746.7 2309.5 1746.718 2309.505 8.485 1745 2308 3 3 3.086 2.063 145.901 0.873 3.606 64048 12480 64048 1746 2308 123.69 2.683 1.496 0.668 0.714 "Négatif"
"29_M_337" 7 12905.143 675.158 12144 12144 14032 2096.786 2309.786 2096.781 2309.79 10.485 2095 2308 4 3 4.044 2.204 26.063 0.8 5 90336 12752 90336 2095 2311 36.87 2.846 1.835 0.545 0.737 "Négatif"
"29_M_338" 124 25506.581 18836.056 65504 11712 65504 2881.968 2323.411 2882.095 2323.526 79.397 2875 2314 15 18 14.598 10.815 138.533 0.247 19.313 3162816 15984 3162816 2881 2314 111.251 13.435 1.35 0.741 0.66 "Négatif"
"29_M_339" 5 13200 1432.201 11824 11824 14800 2734.1 2320.9 2734.124 2320.902 10.485 2733 2319 2 4 3.702 1.72 74.518 0.572 4.472 66000 12896 66000 2733 2323 63.435 2 2.152 0.465 0.714 "Négatif"
"29_M_340" 10 12868.8 982.088 11696 11696 14816 2095.8 2323.5 2095.792 2323.538 15.556 2094 2321 4 5 4.64 2.744 73.044 0.519 5.385 128688 12800 128688 2095 2321 111.801 3.795 1.691 0.591 0.606 "Négatif"
"29_M_341" 5 12147.2 262.273 11872 11872 12544 3024.1 2325.9 3024.102 2325.914 10.485 3023 2324 2 4 3.452 1.844 87.145 0.572 4.123 60736 12160 60736 3024 2324 104.036 2 1.871 0.534 0.714 "Négatif"
"29_M_342" 16 13028 1033.217 11984 11968 15984 3025.625 2331.75 3025.605 2331.775 18.142 3023 2329 5 6 5.966 3.415 104.415 0.611 7.211 208448 13056 208448 3023 2329 123.69 4.743 1.747 0.572 0.711 "Négatif"
"29_M_343" 6 13226.667 1489.725 12432 12160 16128 1658.667 2331.667 1658.653 2331.662 8.485 1657 2330 3 3 3.14 2.433 135 1 3.606 79360 12752 79360 1658 2330 123.69 2.828 1.291 0.775 0.8 "Négatif"
"29_M_344" 95 17136 4786.1 12224 11728 32912 3431.774 2336.974 3431.918 2336.77 48.426 3425 2330 13 14 15.907 7.604 54.274 0.509 16.971 1627920 15424 1627920 3425 2343 45 9.089 2.092 0.478 0.782 "Négatif"
"29_M_345" 40 23180 16470.509 65504 11744 65504 3214.6 2336.525 3214.845 2336.658 30.627 3211 2331 7 9 7.97 6.39 95.96 0.536 9.849 927200 15280 927200 3212 2340 66.038 7 1.247 0.802 0.769 "Négatif"
"29_M_346" 23 12571.13 795.514 11728 11728 14720 2887.152 2340.891 2887.178 2340.9 46.426 2883 2335 8 11 7.551 3.878 65.435 0.134 11.705 289136 12432 289136 2884 2346 70.017 6.788 1.947 0.514 0.377 "Négatif"
"29_M_347" 79 17358.177 5953.617 11808 11808 34608 2235.209 2341.108 2234.912 2341.048 49.012 2227 2336 16 10 14.052 7.158 157.397 0.413 16.279 1371296 15264 1371296 2227 2343 169.38 9.371 1.963 0.509 0.718 "Négatif"
"29_M_348" 13 13068.308 1195.032 12096 12064 16000 3256.962 2341.577 3256.949 2341.528 16.142 3255 2339 4 6 4.633 3.573 87.28 0.627 6.083 169888 12672 169888 3257 2339 99.462 4 1.297 0.771 0.684 "Négatif"
"29_M_349" 8 12822 772.555 11824 11824 14080 2674.75 2341.875 2674.713 2341.868 13.314 2672 2340 5 4 4.332 2.351 151.748 0.567 5.657 102576 12960 102576 2672 2340 135 3.395 1.842 0.543 0.64 "Négatif"
"29_M_350" 5 14499.2 2181.857 12944 12944 18256 3761.5 2342.5 3761.508 2342.517 8.485 3760 2341 3 3 2.523 2.523 0 0.873 3.162 72496 13488 72496 3761 2341 108.435 2.828 1 1 0.714 "Négatif"
"29_M_351" 18 13937.778 1973.291 13168 11744 19056 3373.5 2344.667 3373.512 2344.707 18.971 3371 2342 6 6 6.21 3.69 42.061 0.629 7.81 250880 13440 250880 3371 2347 39.806 4.243 1.683 0.594 0.72 "Négatif"
"29_M_352" 110 14597.673 2275.908 11776 11696 21520 2959.955 2353.864 2959.971 2353.763 62.083 2951 2348 19 13 16.117 8.69 153.975 0.359 19.925 1605744 14160 1605744 2951 2354 162.474 11.606 1.855 0.539 0.694 "Négatif"
"29_M_353" 7 12217.143 461.867 11792 11760 12800 2712.357 2351.214 2712.354 2351.224 10.485 2711 2349 3 4 4.11 2.168 67.5 0.8 4.472 85520 12144 85520 2711 2353 63.435 2.683 1.895 0.528 0.737 "Négatif"
"29_M_354" 12 16580 4213.326 12160 12160 24944 2758.833 2353.25 2758.809 2353.176 13.314 2757 2351 4 5 4.518 3.382 90 0.851 5.385 198960 15888 198960 2758 2356 68.199 4 1.336 0.749 0.774 "Négatif"
"29_M_355" 12 19949.333 6362.307 12272 12272 34016 2020.917 2354.75 2020.821 2354.675 11.899 2019 2353 4 4 4.424 3.453 147.933 1 5 239392 20368 239392 2019 2353 126.87 4 1.281 0.78 0.857 "Négatif"
"29_M_356" 5 12681.6 558.123 12112 12112 13584 2882.5 2354.5 2882.505 2354.483 8.485 2881 2353 3 3 2.523 2.523 0 0.873 3.162 63408 12496 63408 2882 2353 108.435 2.828 1 1 0.714 "Négatif"
"29_M_357" 28 21059.429 12581.16 12432 11776 55856 3104 2356 3104.148 2355.997 25.799 3100 2353 7 7 6.404 5.567 124.099 0.529 8.062 589664 16144 589664 3101 2353 119.745 6.656 1.15 0.869 0.727 "Négatif"
"29_M_358" 17 19400.471 8561.953 12048 12048 41344 1706.5 2361.794 1706.578 2361.753 15.899 1703 2360 6 4 5.671 3.817 2.11e-14 0.845 6.325 329808 16272 329808 1703 2361 161.565 4 1.486 0.673 0.85 "Négatif"
"29_M_359" 5 12710.4 661.112 12096 12096 13712 2968.3 2365.9 2968.298 2365.891 11.314 2967 2364 3 4 2.952 2.157 76.717 0.491 4.243 63552 12384 63552 2967 2368 45 3 1.368 0.731 0.556 "Négatif"
"29_M_360" 8 13222 610.996 12272 12272 14192 2971.375 2368.375 2971.37 2368.407 16.142 2969 2366 4 5 3.551 2.869 88.212 0.386 5.099 105776 13360 105776 2971 2366 101.31 4 1.238 0.808 0.533 "Négatif"
"29_M_361" 15 15761.067 3291.834 12192 12192 23552 1725.7 2369.7 1725.662 2369.776 14.485 1724 2367 4 5 4.709 4.056 84.345 0.898 5.831 236416 14432 236416 1724 2367 120.964 4 1.161 0.861 0.857 "Négatif"
"29_M_362" 14 16449.143 4391.636 11760 11760 24640 1773.643 2383.929 1773.86 2383.83 17.556 1770 2382 6 4 5.461 3.264 15.002 0.571 6.403 230288 16720 230288 1771 2386 38.66 4 1.673 0.598 0.667 "Négatif"
"29_M_363" 9 12954.667 1172.785 11744 11744 15360 2696.167 2389.056 2696.156 2389.015 18.142 2694 2386 4 6 4.613 2.484 113.975 0.344 6.325 116592 12432 116592 2695 2386 108.435 3.883 1.857 0.538 0.529 "Négatif"
"29_M_364" 5 13481.6 1503.217 11712 11712 15872 2676.3 2400.9 2676.238 2400.93 7.071 2675 2400 3 2 3.144 2.025 18.435 1 3.606 67408 13232 67408 2675 2402 33.69 2 1.553 0.644 0.909 "Négatif"
"29_M_365" 47 25042.043 18476.789 65504 11696 65504 3222.862 2404.989 3223.09 2405.054 30.284 3219 2400 8 9 8.403 7.122 108.859 0.644 9.899 1176976 16288 1176976 3220 2401 135 8 1.18 0.848 0.803 "Négatif"
"29_M_366" 9 15340.444 3555.663 11712 11712 19648 2036.5 2406.5 2036.399 2406.423 9.657 2035 2405 3 3 3.385 3.385 0 1 4.243 138064 13840 138064 2035 2405 135 3 1 1 1 "Négatif"
"29_M_367" 31 23939.613 15860.683 14496 11888 65504 3214.661 2410.661 3214.891 2410.804 22.971 3211 2407 7 7 6.513 6.06 100.041 0.738 8.062 742128 15728 742128 3213 2407 119.745 6.708 1.075 0.93 0.795 "Négatif"
"29_M_368" 13 15692.308 4086.615 12176 12176 24960 2595.423 2414.731 2595.391 2414.783 14.142 2593 2412 5 5 4.791 3.454 131.23 0.817 5.831 204000 14192 204000 2594 2412 120.964 4.16 1.387 0.721 0.722 "Négatif"
"29_M_369" 113 13923.257 2141.414 12512 11696 21712 2794.81 2418.367 2794.925 2418.349 85.054 2784 2412 19 14 14.295 10.065 148.769 0.196 20.809 1573328 13248 1573328 2784 2414 144.782 14 1.42 0.704 0.575 "Négatif"
"29_M_370" 8 16174 2305.34 12432 12432 19424 3022.625 2413.375 3022.677 2413.419 9.071 3021 2412 3 3 3.538 2.879 135 1 4.243 129392 15936 129392 3021 2412 135 3 1.229 0.814 0.941 "Négatif"
"29_M_371" 49 12961.959 1163.134 11872 11680 16480 2679.908 2429.684 2679.91 2429.695 42.77 2673 2426 14 7 13.496 4.623 10.251 0.337 14.866 635136 12608 635136 2673 2432 19.654 6.505 2.92 0.343 0.649 "Négatif"
"29_M_372" 186 29416.43 20296.305 65504 11696 65504 3217.645 2443.86 3218.307 2444.023 77.64 3209 2434 16 21 18.716 12.654 95.961 0.388 21.213 5471456 17968 5471456 3218 2434 98.13 14.546 1.479 0.676 0.77 "Négatif"
"29_M_373" 209 14330.794 2124.728 11680 11680 20528 2619.194 2455.141 2618.939 2455.061 123.338 2609 2442 27 24 23.257 11.442 152.335 0.173 32.65 2995136 13904 2995136 2611 2443 139.97 18.728 2.033 0.492 0.484 "Négatif"
"29_M_374" 5 12464 173.804 12256 12256 12640 2499.5 2454.5 2499.499 2454.497 8.485 2498 2453 3 3 2.523 2.523 0 0.873 3.162 62320 12480 62320 2499 2453 108.435 2.828 1 1 0.714 "Négatif"
"29_M_375" 84 12687.048 946.724 11776 11680 16928 2649.655 2469.488 2649.649 2469.522 98.61 2638 2463 22 12 15.491 6.904 159.973 0.109 23.77 1065712 12480 1065712 2638 2466 157.751 10.752 2.244 0.446 0.48 "Négatif"
"29_M_376" 106 27748.528 19747.749 65504 11696 65504 2514.255 2471.208 2515.045 2471.384 46.184 2507 2464 14 13 11.765 11.472 179.524 0.625 14.318 2941344 16784 2941344 2507 2470 167.905 12.2 1.026 0.975 0.815 "Négatif"
"29_M_377" 5 12604.8 685.148 11888 11888 13648 4437.1 2477.3 4437.072 2477.293 10.485 4436 2476 3 3 2.695 2.362 31.717 0.572 3.606 63024 12304 63024 4436 2476 146.31 3 1.141 0.877 0.667 "Négatif"
"29_M_378" 11 15184 3078.269 11808 11808 20768 3169.045 2481.227 3168.985 2481.105 13.314 3167 2479 4 5 4.732 2.96 104.574 0.78 5.385 167024 14352 167024 3168 2479 111.801 3.578 1.599 0.626 0.733 "Négatif"
"29_M_379" 6 12466.667 467.289 11792 11792 12928 3832.667 2481 3832.659 2481.016 9.899 3831 2480 4 2 3.853 1.983 5.31 0.769 4.472 74800 12784 74800 3831 2482 26.565 2 1.944 0.515 0.8 "Négatif"
"29_M_380" 38 24717.053 17061.351 65504 11776 65504 2307.079 2488.921 2307.444 2489.065 27.213 2302 2485 9 7 7.637 6.336 0.302 0.645 9.22 939248 16320 939248 2302 2488 167.471 7 1.205 0.83 0.76 "Négatif"
"29_M_381" 216 32002.889 21816.003 65504 11680 65504 2669.634 2496.745 2670.561 2496.999 87.296 2660 2486 18 21 18.535 14.838 66.797 0.356 23.259 6912624 19744 6912624 2665 2507 64.537 16.745 1.249 0.801 0.759 "Négatif"
"29_M_382" 13 14711.385 2504.844 11760 11760 20256 3095.115 2494.885 3095.168 2494.84 11.899 3093 2493 4 4 4.38 3.779 45 1 5 191248 14064 191248 3093 2496 36.87 4 1.159 0.863 0.897 "Négatif"
"29_M_383" 14 17306.286 5189.488 12064 12064 25680 4034.214 2496 4034.229 2495.913 12.485 4032 2494 4 4 4.264 4.181 90 1 5 242288 14912 242288 4033 2494 126.87 4 1.02 0.981 0.933 "Négatif"
"29_M_384" 58 26121.103 18353.247 65504 11808 65504 2538.362 2500.741 2538.868 2500.769 38.87 2533 2496 10 10 8.8 8.391 143.271 0.482 11.402 1515024 17040 1515024 2534 2497 127.875 9.615 1.049 0.954 0.73 "Négatif"
"29_M_385" 39 22734.769 15011.571 13296 11744 65504 3086.449 2501.115 3086.653 2501.263 32.042 3081 2497 10 9 7.305 6.798 13.533 0.477 10.77 886656 16192 886656 3081 2503 21.801 8 1.075 0.931 0.672 "Négatif"
"29_M_386" 11 14900.364 3495.589 11856 11856 23248 3203.682 2504.682 3203.743 2504.713 11.899 3202 2503 4 4 3.807 3.678 45.002 0.976 4.472 163904 13824 163904 3202 2503 116.565 4 1.035 0.966 0.846 "Négatif"
"29_M_387" 35 14600.229 2047.023 14192 11696 19616 3296.014 2514.014 3296.025 2514.023 26.627 3293 2510 6 9 8.321 5.356 114.473 0.62 10.296 511008 14192 511008 3294 2510 119.055 6 1.554 0.644 0.778 "Négatif"
"29_M_388" 23 17440.696 5956.275 11712 11712 31552 4202.543 2517.239 4202.613 2517.332 20.971 4199 2514 6 7 6.874 4.26 123.185 0.657 7.81 401136 14736 401136 4200 2514 129.806 5.4 1.613 0.62 0.73 "Négatif"
"29_M_389" 24 14586.667 2375.769 11808 11808 19296 2328 2518.542 2327.983 2518.576 19.556 2325 2515 6 6 5.646 5.412 157.698 0.789 7.211 350080 14592 350080 2326 2515 123.69 6 1.043 0.959 0.8 "Négatif"
"29_M_390" 54 17958.222 5070.259 12016 12016 30496 1958.074 2525.037 1958.084 2525.092 32.87 1952 2520 11 9 10.254 6.705 34.896 0.628 12.53 969744 16544 969744 1952 2528 28.61 8.043 1.529 0.654 0.766 "Négatif"
"29_M_391" 22 14752 2574.033 11776 11776 20112 4032.818 2524.091 4032.815 2524.085 19.556 4030 2521 6 6 6.268 4.469 27.14 0.723 7.81 324544 14080 324544 4030 2526 39.806 5.06 1.402 0.713 0.759 "Négatif"
"29_M_392" 125 31085.184 19577.209 65504 11680 65504 2277.636 2536.324 2278.038 2536.266 51.012 2270 2530 16 13 13.953 11.407 6.645 0.604 16.125 3885648 21040 3885648 2270 2535 172.875 13 1.223 0.818 0.825 "Négatif"
"29_M_393" 98 20597.388 11692.127 11728 11696 63808 2057.5 2541.122 2057.627 2540.864 75.74 2049 2536 19 11 15.661 7.968 2.423 0.215 19.925 2018544 15008 2018544 2049 2544 17.526 11 1.966 0.509 0.598 "Négatif"
"29_M_394" 15 15479.467 3794.998 11712 11712 23344 4208.7 2539.1 4208.65 2538.939 18.142 4207 2536 4 7 5.703 3.349 94.952 0.573 7.28 232192 14080 232192 4208 2536 105.945 4 1.703 0.587 0.698 "Négatif"
"29_M_395" 8 12348 640.728 11744 11744 13648 2021.25 2542.25 2021.232 2542.298 17.556 2019 2540 5 5 4.426 2.301 60.233 0.326 6.403 98784 12192 98784 2020 2545 51.34 4.025 1.924 0.52 0.444 "Négatif"
"29_M_396" 16 16421 4178.926 12144 12144 24448 3175.375 2545.688 3175.396 2545.761 17.556 3173 2542 5 6 5.113 3.984 72.924 0.652 6.708 262736 14768 262736 3174 2548 63.435 4.919 1.283 0.779 0.711 "Négatif"
"29_M_397" 5 12672 876.721 11904 11904 14048 2008.5 2545.9 2008.519 2545.943 10.485 2007 2544 3 4 3.679 1.73 115.67 0.572 4.472 63360 12656 63360 2008 2544 116.565 2.53 2.126 0.47 0.625 "Négatif"
"29_M_398" 26 21385.231 12755.903 11792 11792 57344 3285.269 2547.462 3285.283 2547.439 23.213 3282 2544 7 6 6.029 5.491 143.786 0.606 8.485 556016 14240 556016 3283 2544 135 6 1.098 0.911 0.765 "Négatif"
"29_M_399" 9 14855.111 3095.67 11744 11744 21376 1935.389 2555.389 1935.402 2555.3 13.314 1933 2554 5 3 4.248 2.698 173.736 0.638 5.385 133696 14176 133696 1933 2555 158.199 3 1.574 0.635 0.692 "Négatif"
"29_M_400" 23 15651.478 3796.272 11696 11696 25600 1943.63 2558.152 1943.587 2558.188 25.213 1939 2556 9 5 7.753 3.777 10.323 0.455 9.22 359984 14560 359984 1939 2560 12.529 5 2.052 0.487 0.63 "Négatif"
"29_M_401" 6 14424 1483.977 13264 13264 16992 3054.167 2558.167 3054.188 2558.15 9.071 3053 2557 3 3 3.489 2.19 45 0.916 4.243 86544 13728 86544 3053 2560 45 2.828 1.593 0.628 0.857 "Négatif"
"29_M_402" 13 16125.538 4451.049 11712 11712 26880 2132.885 2579.5 2132.845 2579.487 14.728 2131 2577 4 5 4.407 3.756 116.921 0.753 5.385 209632 15472 209632 2132 2577 111.801 4 1.173 0.852 0.765 "Négatif"
"29_M_403" 15 17252.267 5226.389 11776 11776 28096 3207.9 2584.233 3207.962 2584.331 16.142 3206 2581 4 6 5.336 3.579 119.224 0.723 6.708 258784 14752 258784 3206 2581 116.565 4 1.491 0.671 0.769 "Négatif"
"29_M_404" 6 12400 743.131 11840 11840 13584 3376 2590.5 3375.995 2590.54 7.657 3375 2589 2 3 3.385 2.257 90 1 3.606 74400 12112 74400 3375 2589 123.69 2 1.5 0.667 1 "Négatif"
"29_M_405" 250 27286.4 20158.139 65504 11712 65504 2861.6 2607.596 2861.984 2607.498 93.782 2852 2596 21 21 19.125 16.644 114.944 0.357 23.431 6821600 16288 6821600 2852 2601 140.194 18.675 1.149 0.87 0.737 "Négatif"
"29_M_406" 5 12771.2 1012.27 11824 11824 14400 3199.7 2598.9 3199.672 2598.922 9.899 3198 2597 3 3 3.145 2.025 49.065 0.641 4.243 63856 12304 63856 3198 2600 45 2.828 1.553 0.644 0.714 "Négatif"
"29_M_407" 11 16144 3148.465 12240 12240 23712 2211.136 2628.682 2211.087 2628.664 11.899 2209 2627 4 4 4.9 2.859 142.125 0.976 5.657 177584 16384 177584 2209 2627 135 3.536 1.714 0.583 0.846 "Négatif"
"29_M_408" 5 14870.4 1218.765 13392 13392 16656 3264.9 2633.7 3264.892 2633.714 7.657 3264 2632 2 3 3.144 2.025 108.435 1 3.606 74352 14992 74352 3264 2632 123.69 2 1.553 0.644 0.909 "Négatif"
"29_M_409" 138 13680.116 1889.888 12080 11728 21216 2124.754 2656.906 2124.992 2656.614 123.823 2113 2646 24 27 27.053 6.495 51.696 0.113 34.828 1887856 13040 1887856 2114 2673 50.826 11.4 4.165 0.24 0.51 "Négatif"
"29_M_410" 7 13264 1575.844 11904 11904 16432 2983.5 2655.5 2983.494 2655.488 8.485 2982 2654 3 3 3.772 2.363 45 1 4.243 92848 12976 92848 2982 2657 45 2.828 1.596 0.626 0.875 "Négatif"
"29_M_411" 11 12999.273 850.573 11984 11984 14288 2126.5 2665.5 2126.538 2665.539 18.971 2124 2663 4 6 4.696 2.983 101.599 0.384 6.325 142992 12784 142992 2126 2663 108.435 4 1.574 0.635 0.629 "Négatif"
"29_M_412" 8 13886 1344.23 11968 11968 16224 3163.75 2664.5 3163.729 2664.489 9.899 3162 2663 4 3 3.978 2.56 24.407 1 4.472 111088 14272 111088 3162 2666 26.565 3 1.554 0.644 0.8 "Négatif"
"29_M_413" 110 27185.309 19656.023 65504 11680 65504 2943.7 2676.182 2944.317 2676.086 64.912 2937 2668 13 16 13.237 10.581 110.816 0.328 16.971 2990384 16464 2990384 2938 2671 135 12.333 1.251 0.799 0.69 "Négatif"
"29_M_414" 22 18295.273 6473.868 11808 11808 32880 3124.5 2672.227 3124.551 2672.312 20.971 3121 2669 7 6 5.777 4.849 30.695 0.629 7.616 402496 16864 402496 3121 2673 23.199 6 1.191 0.839 0.698 "Négatif"
